"country_code","state_code","name","postcode"
"AU","VIC","Hordern Vale","3238"
"AU","QLD","Carole Park","4300"
"AU","QLD","Wagoora","4798"
"AU","VIC","Staughton Vale","3221"
"AU","VIC","Gowar East","3478"
"AU","NSW","Lavington","2641"
"AU","VIC","Doncaster Heights","3109"
"AU","WA","zzzzzz","6423"
"AU","VIC","Crossley","3282"
"AU","VIC","Salisbury","3418"
"AU","VIC","Tiega","3490"
"AU","VIC","Newhaven","3925"
"AU","VIC","Maddingley","3340"
"AU","VIC","Northcote","3070"
"AU","NSW","Kickabil","2830"
"AU","VIC","Rosebery","3395"
"AU","TAS","Bishopsbourne","7301"
"AU","VIC","Berringama","3691"
"AU","ACT","Watson","2602"
"AU","NSW","Segenhoe","2337"
"AU","NSW","Davis Creek","2336"
"AU","VIC","Moorleigh","3167"
"AU","VIC","Bung Bong","3465"
"AU","NSW","Jaspers Brush","2535"
"AU","QLD","Halifax","4850"
"AU","NSW","Bredbo","2626"
"AU","NT","Leanyer","0812"
"AU","NSW","Ryde","2112"
"AU","QLD","Toobanna","4850"
"AU","NSW","Balmoral","2088"
"AU","NSW","Byangum","2484"
"AU","NSW","North Manly","2100"
"AU","NSW","Binalong","2584"
"AU","NSW","Surfside","2536"
"AU","VIC","Alvie","3249"
"AU","VIC","Harrisfield","3174"
"AU","VIC","Mafeking","3379"
"AU","SA","Glenalta","5052"
"AU","VIC","Alfredton","3350"
"AU","NSW","Boolaroo","2284"
"AU","QLD","Tarzali","4885"
"AU","NSW","Blue Haven","2262"
"AU","NSW","Gillenbah","2700"
"AU","QLD","Hope Vale","4871"
"AU","VIC","Upper Gellibrand","3249"
"AU","TAS","Sorell","7172"
"AU","VIC","Western Port","3919"
"AU","NSW","Mount Kembla","2526"
"AU","NSW","Kyeemagh","2216"
"AU","NSW","Bellbrook","2440"
"AU","NSW","Heatherbrae","2324"
"AU","NSW","Stanbridge","2705"
"AU","NT","Gunn","0832"
"AU","VIC","Winslow","3281"
"AU","NSW","Sydney University","2006"
"AU","NSW","Motto Farm","2324"
"AU","SA","Mintaro","5415"
"AU","ACT","Majura","2609"
"AU","QLD","Sunrise Beach","4567"
"AU","VIC","Coopers Creek","3825"
"AU","NSW","Cooks Hill","2300"
"AU","QLD","Injinoo","4876"
"AU","SA","Coorabie","5690"
"AU","TAS","Mangana","7214"
"AU","VIC","Moolap","3221"
"AU","VIC","Moorabool","3221"
"AU","QLD","Allingham","4850"
"AU","VIC","Goongerah","3888"
"AU","TAS","New Town","7008"
"AU","QLD","Mapleton","4560"
"AU","TAS","Lonnavale","7109"
"AU","NSW","Wetherill Park","2164"
"AU","NSW","Tooraweenah","2831"
"AU","VIC","Glenmore","3340"
"AU","VIC","Katyil","3414"
"AU","VIC","Glenaire","3238"
"AU","WA","Bamboo Creek","6760"
"AU","VIC","Franklinford","3461"
"AU","VIC","Gymbowen","3401"
"AU","WA","Kweda","6306"
"AU","TAS","Devon Hills","7300"
"AU","WA","Kallaroo","6025"
"AU","NSW","Nungatta","2632"
"AU","WA","Woodvale","6026"
"AU","SA","Parrakie","5301"
"AU","VIC","Koonda","3669"
"AU","NSW","Junee","2663"
"AU","SA","Plympton","5038"
"AU","VIC","Coldstream","3770"
"AU","NSW","Mila","2632"
"AU","VIC","Murchison North","3610"
"AU","QLD","Regents Park","4118"
"AU","QLD","Coolana","4311"
"AU","QLD","Macgregor","4109"
"AU","NSW","Bentley","2480"
"AU","TAS","Birchs Bay","7162"
"AU","SA","North Plympton","5037"
"AU","VIC","Bulleen South","3105"
"AU","NSW","Fordwich","2230"
"AU","NSW","Garra","2866"
"AU","QLD","Alton Downs","4702"
"AU","SA","Munno Para","5115"
"AU","VIC","Barunah Plains","3221"
"AU","VIC","Holmesglen","3148"
"AU","NSW","Baradine","2396"
"AU","WA","Tuart Hill","6060"
"AU","QLD","Mutarnee","4816"
"AU","NSW","Trewilga","2869"
"AU","NSW","Tharbogang","2680"
"AU","VIC","Bridge Creek","3722"
"AU","TAS","Prospect Vale","7250"
"AU","NSW","Warialda Rail","2402"
"AU","WA","Millstream","6716"
"AU","TAS","Rowella","7270"
"AU","SA","Seaton","5023"
"AU","WA","Tunney","6395"
"AU","WA","Beeliar","6164"
"AU","SA","Tranmere North","5073"
"AU","SA","Leabrook","5068"
"AU","NSW","Central Colo","2756"
"AU","NSW","Brungle","2722"
"AU","QLD","Dundowran","4655"
"AU","VIC","Lucyvale","3691"
"AU","VIC","Ebden","3691"
"AU","NSW","Wellington","2820"
"AU","VIC","Goschen","3585"
"AU","WA","Collie Burn","6225"
"AU","SA","Coomandook","5261"
"AU","NSW","Georges Creek","2440"
"AU","VIC","Ferny Creek","3786"
"AU","WA","Wokalup","6221"
"AU","WA","Yalgorup","6215"
"AU","VIC","Bellevue","3104"
"AU","TAS","Lower Marshes","7030"
"AU","VIC","Mathiesons","3612"
"AU","NSW","Berowra","2081"
"AU","SA","Parndana East","5220"
"AU","NSW","Wollongong North","2500"
"AU","VIC","Mount Duneed","3216"
"AU","QLD","Forsayth","4871"
"AU","NSW","Broken Head","2481"
"AU","QLD","Tallebudgera Valley","4228"
"AU","VIC","Essendon West","3040"
"AU","QLD","Ballandean","4382"
"AU","WA","Lower King","6330"
"AU","QLD","Fishery Falls","4871"
"AU","VIC","Cottles Bridge","3099"
"AU","NSW","Waratah","2298"
"AU","SA","Wild Horse Plains","5501"
